0.75,,1
0.25,,4
0.75,,
0.25,,
0.75,,
0.25,,
0.75,,
0.25,,
0.75,,
0.25,,
0.75,,
0.25,,
0.75,,
0.25,,
1,,
0.75,,
0.25,,
0.75,,
0.25,,
0.75,,
0.25,,
0.75,,
0.25,,
0.75,,
0.25,,
0.75,,
0.25,,
0.75,,
0.25,,
1,,
0.75,,
0.25,,
0.75,,
0.25,,
0.75,,
0.25,,
0.75,,
0.25,,
0.75,,
0.25,,
0.75,,
0.25,,
0.75,,
0.25,,
1,,
1,,
1,,
1,,
1,,
1,,
3,,
1,a rest,
1.5,,
0.5,,
0.75,,
0.25,,
0.75,,
0.25,,
2,,
2,,
1.5,,
0.5,,
0.75,,
0.25,,
0.75,,
0.25,,
2,,
2,,
1.5,,
0.5,,
0.75,,
0.25,,
0.75,,
0.25,,
2,,
1,,
1,,
1,,
1,,
1,,
1,,
3,,
