0.75,,1
0.25,,4
1,,
0.75,,
0.25,,
0.75,,
0.25,,
0.75,,
0.25,,
2,,
1,,
0.75,,
0.25,,
1,,
0.75,,
0.25,,
1,,
0.75,,
0.25,,
3,,
0.75,,
0.25,,
1,,
0.75,,
0.25,,
0.75,,
0.25,,
0.75,,
0.25,,
2,,
1,,
0.75,,
0.25,,
1,,
0.75,,
0.25,,
1,,
0.75,,
0.25,,
3,,
1,,
1,,
0.75,,
0.25,,
1,,
0.75,,
0.25,,
2,,
1,,
0.75,,
0.25,,
1,,
0.75,,
0.25,,
1,,
0.75,,
0.25,,
3,,
1,,
1,,
0.75,,
0.25,,
1,,
0.75,,
0.25,,
2,,
1,,
0.75,,
0.25,,
1,,
0.75,,
0.25,,
1,,
0.75,,
0.25,,
3,,
